,web,wiki,shakespeare
Someone I know recently combined Maple Syrup & buttered Popcorn thinking it would,"0.723:	 be	
0.0573:	 make	
0.036:	 work	
","0.739:	 be	
0.0502:	 make	
0.0341:	 have	
","0.663:	 be	
0.0436:	 not	
0.0402:	\n	
"
When you get right down to the bottom of the barrel,"0.624:	,	
0.102:	 and	
0.053:	 of	
","0.479:	,	
0.169:	 and	
0.0377:	 of	
","0.55:	,	
0.084:	\n	
0.0676:	:	
"
The crow scavenged for the loose corn kernels flying through the ionic sea of,"0.588:	 the	
0.0567:	 space	
0.0289:	 water	
","0.46:	 the	
0.0405:	 Africa	
0.0404:	 Jupiter	
","0.241:	 the	
0.0803:	 heaven	
0.0657:	 France	
"
I love this app it is sooo much fun and it is sooo,"0.186:	 much	
0.157:	 fun	
0.0989:	 awesome	
","0.214:	 much	
0.144:	 fun	
0.108:	 good	
","0.45:	 much	
0.103:	 good	
0.0454:	\n	
"
How low can you go after the water stops rising and the world is burning but,"0.187:	 it	
0.172:	 the	
0.137:	 you	
","0.224:	 the	
0.145:	 it	
0.0979:	 you	
","0.168:	\n	
0.123:	 not	
0.116:	 the	
"
