,[0],[1],[2],[3],[4],[5],"[0, 1]","[1, 2]","[2, 3]","[3, 4]","[4, 5]","[0, 1, 2]","[1, 2, 3]","[2, 3, 4]","[3, 4, 5]","[0, 1, 2, 3]","[1, 2, 3, 4]","[2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]"
Someone I know recently combined Maple Syrup & buttered Popcorn thinking it would,"0.712:	 be	
0.0535:	 make	
0.0396:	 work	
","0.762:	 be	
0.0471:	 make	
0.0299:	 have	
","0.728:	 be	
0.0526:	 make	
0.034:	 have	
","0.713:	 be	
0.0515:	 make	
0.0381:	 work	
","0.697:	 be	
0.0592:	 make	
0.0433:	 work	
","0.715:	 be	
0.0495:	 make	
0.0367:	 work	
","0.751:	 be	
0.04:	 make	
0.0325:	 have	
","0.765:	 be	
0.0423:	 make	
0.0315:	 have	
","0.718:	 be	
0.0462:	 make	
0.0389:	 have	
","0.687:	 be	
0.052:	 make	
0.0458:	 work	
","0.685:	 be	
0.0516:	 make	
0.0438:	 work	
","0.741:	 be	
0.0364:	 make	
0.0357:	 have	
","0.754:	 be	
0.0364:	 have	
0.0361:	 make	
","0.694:	 be	
0.046:	 make	
0.0401:	 have	
","0.674:	 be	
0.0456:	 make	
0.0453:	 work	
","0.722:	 be	
0.0423:	 have	
0.0407:	 not	
","0.729:	 be	
0.0373:	 have	
0.0362:	 make	
","0.682:	 be	
0.0402:	 make	
0.039:	 have	
","0.663:	 be	
0.0451:	 not	
0.0397:	 have	
"
When you get right down to the bottom of the barrel,"0.604:	,	
0.0927:	 and	
0.0599:	 of	
","0.592:	,	
0.0952:	 and	
0.0558:	 of	
","0.638:	,	
0.094:	 and	
0.0523:	 of	
","0.622:	,	
0.0969:	 and	
0.0568:	 of	
","0.595:	,	
0.107:	 and	
0.0552:	 of	
","0.638:	,	
0.0986:	 and	
0.0502:	 of	
","0.563:	,	
0.0836:	 and	
0.0674:	 of	
","0.592:	,	
0.082:	 and	
0.059:	 of	
","0.633:	,	
0.0861:	 and	
0.0563:	 of	
","0.591:	,	
0.1:	 and	
0.0576:	 of	
","0.621:	,	
0.101:	 and	
0.0507:	 of	
","0.561:	,	
0.0726:	 of	
0.0671:	 and	
","0.576:	,	
0.0717:	 and	
0.0619:	 of	
","0.597:	,	
0.0877:	 and	
0.0552:	 of	
","0.624:	,	
0.0935:	 and	
0.0511:	 of	
","0.548:	,	
0.0715:	 of	
0.0639:	.	
","0.525:	,	
0.0682:	 and	
0.0622:	.	
","0.636:	,	
0.0799:	 and	
0.0465:	 of	
","0.504:	,	
0.08:	?	
0.0791:	.	
"
The crow scavenged for the loose corn kernels flying through the ionic sea of,"0.556:	 the	
0.0321:	 water	
0.0301:	 night	
","0.583:	 the	
0.0457:	 space	
0.0313:	 a	
","0.555:	 the	
0.0518:	 space	
0.0304:	 a	
","0.523:	 the	
0.0546:	 space	
0.0302:	 water	
","0.522:	 the	
0.0428:	 space	
0.0284:	 water	
","0.508:	 the	
0.0634:	 space	
0.0456:	 water	
","0.586:	 the	
0.0293:	 his	
0.0267:	 heaven	
","0.531:	 the	
0.0394:	 space	
0.0333:	 a	
","0.479:	 the	
0.0472:	 space	
0.0277:	 Saturn	
","0.441:	 the	
0.0362:	 space	
0.0277:	 water	
