,[0],[1],[2],[3],[4],[5],"[0, 1]","[1, 2]","[2, 3]","[3, 4]","[4, 5]","[0, 1, 2]","[1, 2, 3]","[2, 3, 4]","[3, 4, 5]","[0, 1, 2, 3]","[1, 2, 3, 4]","[2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]"
Someone I know recently combined Maple Syrup & buttered Popcorn thinking it would,"0.707:	 be	
0.0549:	 make	
0.0384:	 work	
","0.735:	 be	
0.0549:	 make	
0.0309:	 have	
","0.713:	 be	
0.0656:	 make	
0.0339:	 work	
","0.741:	 be	
0.0493:	 make	
0.0338:	 have	
","0.721:	 be	
0.0595:	 make	
0.0395:	 work	
","0.726:	 be	
0.0481:	 make	
0.034:	 work	
","0.722:	 be	
0.0506:	 make	
0.0363:	 have	
","0.728:	 be	
0.0623:	 make	
0.029:	 have	
","0.734:	 be	
0.0566:	 make	
0.0313:	 have	
","0.741:	 be	
0.0508:	 make	
0.0326:	 have	
","0.724:	 be	
0.0509:	 make	
0.0372:	 work	
","0.715:	 be	
0.0567:	 make	
0.0344:	 have	
","0.745:	 be	
0.055:	 make	
0.0293:	 have	
","0.734:	 be	
0.0581:	 make	
0.03:	 have	
","0.742:	 be	
0.0441:	 make	
0.0329:	 have	
","0.729:	 be	
0.051:	 make	
0.0352:	 have	
","0.746:	 be	
0.0564:	 make	
0.0283:	 have	
","0.735:	 be	
0.0507:	 make	
0.0301:	 have	
","0.726:	 be	
0.0463:	 make	
0.0355:	 have	
"
When you get right down to the bottom of the barrel,"0.617:	,	
0.102:	 and	
0.0497:	 of	
","0.592:	,	
0.103:	 and	
0.0565:	 of	
","0.618:	,	
0.109:	 and	
0.042:	 of	
","0.607:	,	
0.116:	 and	
0.0419:	 you	
","0.591:	,	
0.112:	 and	
0.0551:	 of	
","0.439:	,	
0.15:	 and	
0.0748:	 of	
","0.583:	,	
0.105:	 and	
0.0518:	 of	
","0.581:	,	
0.112:	 and	
0.0434:	 of	
","0.596:	,	
0.123:	 and	
0.0447:	 you	
","0.555:	,	
0.129:	 and	
0.0462:	 you	
","0.384:	,	
0.158:	 and	
0.077:	 of	
","0.563:	,	
0.115:	 and	
0.0473:	 you	
","0.552:	,	
0.126:	 and	
0.0512:	 you	
","0.527:	,	
0.14:	 and	
0.0498:	 you	
","0.326:	,	
0.173:	 and	
0.0792:	 you	
","0.525:	,	
0.129:	 and	
0.0592:	 you	
","0.478:	,	
0.146:	 and	
0.0567:	 you	
","0.289:	,	
0.182:	 and	
0.0837:	 you	
","0.228:	,	
0.184:	 and	
0.108:	 you	
"
The crow scavenged for the loose corn kernels flying through the ionic sea of,"0.509:	 the	
0.0344:	 water	
0.0294:	 space	
","0.61:	 the	
0.0405:	 space	
0.0296:	 a	
","0.6:	 the	
0.0544:	 space	
0.0291:	 a	
","0.584:	 the	
0.0522:	 space	
0.0286:	 water	
","0.597:	 the	
0.0438:	 space	
0.0308:	 water	
","0.587:	 the	
0.0546:	 space	
0.0362:	 water	
","0.5:	 the	
0.0284:	 New	
0.022:	 a	
","0.615:	 the	
0.0357:	 space	
0.0294:	 a	
","0.581:	 the	
0.0509:	 space	
0.0259:	 a	
","0.592:	 the	
0.0377:	 space	
0.0298:	 water	
","0.591:	 the	
0.0444:	 space	
0.0386:	 water	
","0.497:	 the	
0.0294:	 New	
0.0224:	 Florida	
","0.584:	 the	
0.034:	 space	
0.0254:	 a	
","0.589:	 the	
0.0366:	 space	
0.0242:	 water	
","0.587:	 the	
0.0402:	 space	
0.0375:	 water	
","0.458:	 the	
0.036:	 New	
0.0242:	 Florida	
","0.587:	 the	
0.0246:	 space	
0.0234:	 a	
","0.594:	 the	
0.0387:	 space	
0.0302:	 water	
","0.502:	 the	
0.0271:	 Africa	
0.0264:	 New	
"
I love this app it is sooo much fun and it is sooo,"0.198:	 much	
0.141:	 fun	
0.113:	 awesome	
","0.178:	 fun	
0.173:	 much	
0.0988:	 awesome	
","0.165:	 fun	
0.158:	 much	
0.102:	 awesome	
","0.191:	 much	
0.154:	 fun	
0.093:	 easy	
","0.184:	 much	
0.174:	 fun	
0.0944:	 awesome	
","0.196:	 much	
0.165:	 fun	
0.104:	 awesome	
","0.173:	 much	
0.16:	 fun	
0.108:	 awesome	
","0.182:	 fun	
0.15:	 much	
0.0996:	 good	
","0.165:	 much	
0.16:	 fun	
0.0958:	 good	
","0.189:	 much	
0.173:	 fun	
0.0904:	 easy	
","0.198:	 much	
0.18:	 fun	
0.0986:	 awesome	
","0.154:	 fun	
0.151:	 much	
0.112:	 good	
","0.175:	 fun	
0.161:	 much	
0.109:	 good	
","0.183:	 fun	
0.164:	 much	
0.102:	 good	
","0.205:	 much	
0.179:	 fun	
0.103:	 good	
","0.156:	 much	
0.149:	 fun	
0.126:	 good	
","0.199:	 fun	
0.164:	 much	
0.115:	 good	
","0.185:	 fun	
0.178:	 much	
0.115:	 good	
","0.166:	 much	
0.162:	 fun	
0.155:	 good	
"
How low can you go after the water stops rising and the world is burning but,"0.193:	 it	
0.18:	 the	
0.138:	 you	
","0.191:	 it	
0.163:	 the	
0.136:	 you	
","0.178:	 it	
0.173:	 the	
0.122:	 you	
","0.178:	 it	
0.177:	 the	
0.143:	 you	
","0.182:	 the	
0.173:	 it	
0.129:	 you	
","0.181:	 you	
0.18:	 it	
0.17:	 the	
","0.196:	 it	
0.169:	 the	
0.136:	 you	
","0.181:	 it	
0.164:	 the	
0.12:	 you	
","0.18:	 the	
0.169:	 it	
0.128:	 you	
","0.187:	 the	
0.163:	 it	
0.136:	 you	
","0.18:	 you	
0.177:	 the	
0.162:	 it	
","0.186:	 it	
0.17:	 the	
0.119:	 you	
","0.172:	 it	
0.169:	 the	
0.126:	 you	
","0.19:	 the	
0.155:	 it	
0.12:	 you	
","0.19:	 you	
0.181:	 the	
0.151:	 it	
","0.178:	 it	
0.175:	 the	
0.125:	 you	
","0.178:	 the	
0.156:	 it	
0.12:	 you	
","0.187:	 the	
0.169:	 you	
0.144:	 it	
","0.18:	 the	
0.174:	 you	
0.151:	 it	
"
