,[0],[1],[2],[3],[4],[5],"[0, 1]","[1, 2]","[2, 3]","[3, 4]","[4, 5]","[0, 1, 2]","[1, 2, 3]","[2, 3, 4]","[3, 4, 5]","[0, 1, 2, 3]","[1, 2, 3, 4]","[2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]"
"Make <mask>, there is no time","0.214:	 sure	
0.198:	 haste	
0.155:	 it	
0.0371:	 now	
0.0368:	 no	
","0.19:	 haste	
0.178:	 sure	
0.167:	 it	
0.0375:	 now	
0.034:	 no	
","0.225:	 sure	
0.188:	 haste	
0.17:	 it	
0.0367:	 good	
0.0361:	 clear	
","0.243:	 sure	
0.214:	 haste	
0.174:	 it	
0.0333:	 no	
0.0278:	 up	
","0.274:	 sure	
0.249:	 haste	
0.172:	 it	
0.0326:	 clear	
0.0296:	 up	
","0.352:	 sure	
0.265:	 haste	
0.13:	 it	
0.0255:	 now	
0.0234:	 good	
","0.211:	 sure	
0.153:	 it	
0.128:	 haste	
0.0438:	 no	
0.0433:	 now	
","0.242:	 sure	
0.161:	 it	
0.12:	 haste	
0.0425:	 clear	
0.0378:	 no	
","0.299:	 sure	
0.18:	 it	
0.139:	 haste	
0.0371:	 clear	
0.0335:	 no	
","0.37:	 sure	
0.177:	 haste	
0.17:	 it	
0.0333:	 clear	
0.0311:	 up	
","0.468:	 sure	
0.212:	 haste	
0.129:	 it	
0.0218:	 up	
0.0207:	 now	
","0.281:	 sure	
0.147:	 it	
0.0795:	 haste	
0.0477:	 no	
0.0342:	 clear	
","0.315:	 sure	
0.165:	 it	
0.0874:	 haste	
0.0437:	 clear	
0.0419:	 no	
","0.425:	 sure	
0.174:	 it	
0.104:	 haste	
0.0459:	 clear	
0.0374:	 up	
","0.565:	 sure	
0.136:	 haste	
0.126:	 it	
0.0226:	 up	
0.0185:	 clear	
","0.36:	 sure	
0.142:	 it	
0.0575:	 haste	
0.0531:	 no	
0.0345:	 up	
","0.441:	 sure	
0.156:	 it	
0.0638:	 haste	
0.0544:	 clear	
0.0411:	 up	
","0.611:	 sure	
0.131:	 it	
0.0772:	 haste	
0.0276:	 up	
0.0242:	 clear	
","0.682:	 sure	
0.0993:	 it	
0.0283:	 haste	
0.0248:	 up	
0.0208:	 clear	
"
This <mask> is very tasty,"0.202:	 dish	
0.108:	 one	
0.0543:	 bread	
0.0483:	 meal	
0.0462:	 recipe	
","0.241:	 dish	
0.112:	 one	
0.0606:	 bread	
0.0421:	 meal	
0.0375:	 fruit	
","0.214:	 dish	
0.102:	 one	
0.0679:	 bread	
0.0448:	 meal	
0.0384:	 recipe	
","0.214:	 dish	
0.114:	 one	
0.0496:	 recipe	
0.0465:	 meal	
0.0456:	 bread	
","0.2:	 dish	
0.13:	 one	
0.0491:	 bread	
0.0447:	 meal	
0.0435:	 recipe	
","0.225:	 dish	
0.0836:	 one	
0.0732:	 recipe	
0.0573:	 meal	
0.0489:	 bread	
","0.234:	 dish	
0.109:	 one	
0.0582:	 bread	
0.0408:	 recipe	
0.0374:	 meal	
","0.234:	 dish	
0.102:	 one	
0.0729:	 bread	
0.0381:	 fruit	
0.0357:	 meal	
","0.211:	 dish	
0.107:	 one	
0.0551:	 bread	
0.0453:	 recipe	
0.0383:	 meal	
","0.19:	 dish	
0.141:	 one	
0.0507:	 recipe	
0.0389:	 bread	
0.0387:	 meal	
","0.199:	 dish	
0.0998:	 one	
0.0731:	 recipe	
0.0482:	 meal	
0.0429:	 bread	
","0.233:	 dish	
0.0985:	 one	
0.0694:	 bread	
0.0383:	 fruit	
0.0369:	 recipe	
","0.234:	 dish	
0.108:	 one	
0.0583:	 bread	
0.0395:	 sauce	
0.0394:	 recipe	
","0.183:	 dish	
0.134:	 one	
0.0487:	 sauce	
0.0475:	 bread	
0.0462:	 recipe	
","0.186:	 dish	
0.111:	 one	
0.0831:	 recipe	
0.0416:	 meal	
0.0368:	 sauce	
","0.228:	 dish	
0.0996:	 one	
0.0564:	 bread	
0.045:	 recipe	
0.0448:	 sauce	
","0.204:	 dish	
0.134:	 one	
0.0584:	 sauce	
0.0492:	 bread	
0.0406:	 recipe	
","0.183:	 dish	
0.109:	 one	
0.0746:	 recipe	
0.0481:	 sauce	
0.0417:	 bread	
","0.198:	 dish	
0.102:	 one	
0.0747:	 recipe	
0.0676:	 sauce	
0.0433:	 bread	
"
This fruit is very <mask>,"0.199:	 ripe	
0.134:	 sweet	
0.0577:	 tasty	
0.0571:	 delicious	
0.0411:	 rare	
","0.217:	 ripe	
0.173:	 sweet	
0.0649:	 delicious	
0.0604:	 tasty	
0.0314:	.	
","0.258:	 ripe	
0.179:	 sweet	
0.0555:	 delicious	
0.0527:	 tasty	
0.0387:	 bitter	
","0.248:	 ripe	
0.172:	 sweet	
0.0642:	 tasty	
0.0639:	 delicious	
0.0375:	 rare	
","0.216:	 ripe	
0.15:	 sweet	
0.094:	 tasty	
0.077:	 delicious	
0.0293:	 good	
","0.174:	 sweet	
0.161:	 ripe	
0.111:	 tasty	
0.0799:	 delicious	
0.0356:	 rare	
","0.15:	 ripe	
0.142:	 sweet	
0.0636:	 delicious	
0.0567:	 tasty	
0.0381:	 rare	
","0.196:	 sweet	
0.184:	 ripe	
0.0653:	 delicious	
0.0563:	 tasty	
0.0355:	.	
","0.225:	 ripe	
0.192:	 sweet	
0.0625:	 delicious	
0.0583:	 tasty	
0.0374:	 bitter	
","0.191:	 ripe	
0.16:	 sweet	
0.101:	 tasty	
0.0869:	 delicious	
0.0383:	 rare	
","0.166:	 tasty	
0.149:	 sweet	
0.11:	 ripe	
0.1:	 delicious	
0.0414:	 nutritious	
","0.15:	 sweet	
0.124:	 ripe	
0.0613:	 delicious	
0.0526:	 tasty	
0.0388:	 rare	
","0.2:	 sweet	
0.147:	 ripe	
0.0721:	 delicious	
0.0627:	 tasty	
0.0424:	 special	
","0.178:	 sweet	
0.174:	 ripe	
0.0883:	 tasty	
0.0814:	 delicious	
0.0386:	 rare	
","0.169:	 tasty	
0.153:	 sweet	
0.108:	 delicious	
0.0891:	 ripe	
0.0415:	 rare	
","0.146:	 sweet	
0.092:	 ripe	
0.0634:	 delicious	
0.0586:	 rare	
0.0547:	 tasty	
","0.182:	 sweet	
0.106:	 ripe	
0.0879:	 tasty	
0.0871:	 delicious	
0.0471:	 special	
","0.172:	 sweet	
0.147:	 tasty	
0.105:	 delicious	
0.0823:	 ripe	
0.0422:	 rare	
","0.125:	 sweet	
0.101:	 tasty	
0.0905:	 delicious	
0.0725:	 rare	
0.0704:	 special	
"
I wish I were a <mask>,"0.0941:	 man	
0.0586:	 king	
0.0553:	 boy	
0.0415:	 queen	
0.0411:	 god	
","0.0945:	 man	
0.054:	 boy	
0.0479:	 king	
0.0462:	 god	
0.0393:	 child	
","0.102:	 man	
0.0551:	 boy	
0.0505:	 god	
0.0464:	 king	
0.0409:	 child	
","0.0799:	 man	
0.0627:	 boy	
0.0534:	 god	
0.0519:	 king	
0.0471:	 prince	
","0.0804:	 man	
0.0672:	 god	
0.0537:	 boy	
0.0484:	 king	
0.0398:	 saint	
","0.0823:	 man	
0.0638:	 king	
0.0624:	 god	
0.0441:	 boy	
0.039:	 prince	
","0.0862:	 man	
0.0537:	 boy	
0.0476:	
	
0.0396:	 woman	
0.0373:	 child	
","0.0985:	 man	
0.055:	 boy	
0.0441:	 child	
0.04:	 woman	
0.0377:	 saint	
","0.0871:	 man	
0.0679:	 boy	
0.0509:	 child	
0.0456:	 god	
0.0426:	 prince	
","0.0671:	 man	
0.0652:	 boy	
0.059:	 god	
0.0459:	 child	
0.0402:	 prince	
","0.0685:	 man	
0.0659:	 god	
0.0463:	 boy	
0.0406:	 child	
0.0397:	 king	
","0.197:	
	
0.0991:	</s>	
0.0697:	 man	
0.0419:	 boy	
0.0357:	 woman	
","0.0815:	 man	
0.0625:	 boy	
0.0506:	 child	
0.0405:	</s>	
0.0382:	 girl	
","0.0711:	 man	
0.0694:	 boy	
0.055:	 child	
0.048:	 god	
0.0395:	 saint	
","0.0559:	 man	
0.0548:	 boy	
0.0548:	 god	
0.05:	 child	
0.0442:	 vegetarian	
","0.332:	
	
0.142:	</s>	
0.0427:	 man	
0.0352:	 boy	
0.0286:	 girl	
","0.0679:	 man	
0.0603:	</s>	
0.0594:	 boy	
0.0491:	 child	
0.0393:	 girl	
","0.0602:	 man	
0.0594:	 child	
0.0575:	 boy	
0.045:	 vegetarian	
0.0428:	 god	
","0.256:	</s>	
0.0445:	 man	
0.0361:	 girl	
0.0334:	 child	
0.0327:	 boy	
"
I wish I <mask> a fish,"0.546:	 had	
0.322:	 were	
0.0556:	 was	
0.0195:	'd	
0.0118:	 saw	
","0.513:	 had	
0.359:	 were	
0.0588:	 was	
0.0191:	'd	
0.011:	 knew	
","0.473:	 had	
0.374:	 were	
0.0729:	 was	
0.0232:	'd	
0.0129:	 knew	
","0.437:	 had	
0.423:	 were	
0.0762:	 was	
0.0197:	'd	
0.0084:	 saw	
","0.658:	 had	
0.203:	 were	
0.0784:	 was	
0.0135:	'd	
0.00996:	 saw	
","0.529:	 had	
0.34:	 were	
0.0618:	 was	
0.0123:	 knew	
0.00945:	 saw	
","0.55:	 had	
0.323:	 were	
0.0565:	 was	
0.0183:	'd	
0.00985:	 saw	
","0.492:	 had	
0.355:	 were	
0.078:	 was	
0.0215:	'd	
0.0133:	 knew	
","0.418:	 were	
0.416:	 had	
0.0973:	 was	
0.0221:	'd	
0.00956:	 knew	
","0.613:	 had	
0.226:	 were	
0.109:	 was	
0.0135:	'd	
0.00762:	 saw	
","0.683:	 had	
0.173:	 were	
0.0836:	 was	
0.00842:	 saw	
0.0081:	 knew	
","0.518:	 had	
0.332:	 were	
0.0767:	 was	
0.0202:	'd	
0.0106:	 knew	
","0.431:	 had	
0.398:	 were	
0.108:	 was	
0.0196:	'd	
0.00981:	 knew	
","0.593:	 had	
0.215:	 were	
0.137:	 was	
0.0152:	'd	
0.00695:	 knew	
","0.636:	 had	
0.193:	 were	
0.118:	 was	
0.0065:	 saw	
0.00643:	 knew	
","0.454:	 had	
0.378:	 were	
0.109:	 was	
0.0174:	'd	
0.00763:	 knew	
","0.607:	 had	
0.193:	 were	
0.151:	 was	
0.0127:	'd	
0.00702:	 knew	
","0.616:	 had	
0.185:	 were	
0.144:	 was	
0.00812:	 knew	
0.00596:	'd	
","0.651:	 had	
0.154:	 were	
0.149:	 was	
0.00608:	 knew	
0.00436:	 got	
"
I wish I were <mask> fish,"0.642:	 a	
0.0656:	 to	
0.04:	 more	
0.0314:	 the	
0.0281:	 bigger	
","0.735:	 a	
0.0619:	 to	
0.0279:	 the	
0.0232:	 bigger	
0.0227:	 more	
","0.732:	 a	
0.0698:	 to	
0.0285:	 the	
0.0227:	 bigger	
0.0204:	 more	
","0.672:	 a	
0.119:	 to	
0.0297:	 the	
0.0234:	 bigger	
0.0214:	 more	
","0.687:	 a	
0.0864:	 to	
0.0376:	 the	
0.0268:	 bigger	
0.02:	 more	
","0.672:	 a	
0.0768:	 to	
0.0443:	 bigger	
0.0256:	 the	
0.0236:	 more	
","0.444:	 a	
0.0785:	 better	
0.0739:	 to	
0.0581:	 more	
0.0364:	 the	
","0.71:	 a	
0.0687:	 to	
0.0287:	 the	
0.0224:	 bigger	
0.0213:	 more	
","0.691:	 a	
0.12:	 to	
0.0283:	 the	
0.0197:	 bigger	
0.0155:	 more	
","0.636:	 a	
0.147:	 to	
0.0375:	 the	
0.0236:	 bigger	
0.0148:	 more	
","0.638:	 a	
0.0976:	 to	
0.0442:	 bigger	
0.0333:	 the	
0.0169:	 more	
