,[0],[1],[2],[3],[4],[5],"[0, 1]","[1, 2]","[2, 3]","[3, 4]","[4, 5]","[0, 1, 2]","[1, 2, 3]","[2, 3, 4]","[3, 4, 5]","[0, 1, 2, 3]","[1, 2, 3, 4]","[2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]"
"Make <mask>, there is no time","0.454:	 sure	
0.28:	 it	
0.0357:	 haste	
0.0252:	 sense	
0.0197:	 up	
","0.369:	 sure	
0.29:	 it	
0.0401:	 haste	
0.0354:	 up	
0.0317:	 sense	
","0.346:	 it	
0.253:	 sure	
0.0682:	 haste	
0.0411:	 sense	
0.0321:	 up	
","0.326:	 it	
0.213:	 sure	
0.0406:	 money	
0.0373:	 now	
0.0369:	 haste	
","0.241:	 it	
0.222:	 sure	
0.0526:	 time	
0.0474:	 haste	
0.0382:	 up	
","0.244:	 it	
0.212:	 sure	
0.0447:	 up	
0.0404:	 now	
0.0365:	 time	
","0.486:	 sure	
0.272:	 it	
0.0497:	 haste	
0.0237:	 up	
0.0201:	 sense	
","0.336:	 sure	
0.327:	 it	
0.0785:	 haste	
0.0321:	 up	
0.032:	 sense	
","0.369:	 it	
0.206:	 sure	
0.0857:	 haste	
0.0398:	 now	
0.032:	 sense	
","0.26:	 it	
0.154:	 sure	
0.0751:	 time	
0.0699:	 haste	
0.0489:	 money	
","0.211:	 it	
0.148:	 sure	
0.0795:	 time	
0.0414:	 now	
0.0404:	 up	
","0.441:	 sure	
0.3:	 it	
0.0764:	 haste	
0.0214:	 sense	
0.0209:	 up	
","0.343:	 it	
0.288:	 sure	
0.109:	 haste	
0.029:	 up	
0.0252:	 sense	
","0.288:	 it	
0.132:	 haste	
0.125:	 sure	
0.0576:	 time	
0.0493:	 now	
","0.224:	 it	
0.106:	 sure	
0.105:	 time	
0.0541:	 now	
0.0491:	 haste	
","0.377:	 sure	
0.33:	 it	
0.0993:	 haste	
0.0234:	 clear	
0.0196:	 up	
","0.279:	 it	
0.178:	 sure	
0.175:	 haste	
0.0396:	 up	
0.0322:	 now	
","0.239:	 it	
0.0895:	 time	
0.0864:	 haste	
0.0794:	 sure	
0.0716:	 now	
","0.25:	 it	
0.167:	 sure	
0.133:	 haste	
0.0427:	 clear	
0.034:	 up	
"
This <mask> is very tasty,"0.165:	 dish	
0.106:	 one	
0.0904:	 recipe	
0.0605:	 bread	
0.053:	 sauce	
","0.141:	 one	
0.14:	 dish	
0.101:	 recipe	
0.0467:	 bread	
0.0383:	 sauce	
","0.231:	 recipe	
0.128:	 dish	
0.117:	 one	
0.0381:	 beer	
0.0357:	 bread	
","0.181:	 one	
0.174:	 recipe	
0.169:	 dish	
0.0417:	 bread	
0.0363:	 sauce	
","0.153:	 recipe	
0.14:	 dish	
0.132:	 one	
0.0451:	 bread	
