,[0],[1],[2],[3],[4],[5],"[0, 1]","[1, 2]","[2, 3]","[3, 4]","[4, 5]","[0, 1, 2]","[1, 2, 3]","[2, 3, 4]","[3, 4, 5]","[0, 1, 2, 3]","[1, 2, 3, 4]","[2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]"
"Make <mask>, there is no time","0.499:	 sure	
0.253:	 it	
0.0311:	 sense	
0.0217:	 haste	
0.0194:	 up	
","0.363:	 sure	
0.308:	 it	
0.0423:	 up	
0.0379:	 sense	
0.0275:	 haste	
","0.335:	 it	
0.296:	 sure	
0.0396:	 haste	
0.0378:	 up	
0.0375:	 sense	
","0.311:	 it	
0.303:	 sure	
0.0366:	 mistakes	
0.0352:	 up	
0.0316:	 sense	
","0.289:	 it	
0.274:	 sure	
0.0541:	 up	
0.033:	 money	
0.0319:	 haste	
","0.358:	 sure	
0.233:	 it	
0.0377:	 up	
0.0358:	 money	
0.0326:	 now	
","0.546:	 sure	
0.246:	 it	
0.0261:	 sense	
0.0247:	 up	
0.0176:	 haste	
","0.355:	 sure	
0.322:	 it	
0.0464:	 up	
0.0395:	 sense	
0.0315:	 haste	
","0.382:	 it	
0.27:	 sure	
0.0356:	 haste	
0.0348:	 up	
0.0304:	 sense	
","0.328:	 it	
0.298:	 sure	
0.0454:	 up	
0.032:	 haste	
0.0312:	 friends	
","0.357:	 sure	
0.234:	 it	
0.0502:	 up	
0.0366:	 money	
0.0329:	 now	
","0.513:	 sure	
0.251:	 it	
0.0302:	 sense	
0.0268:	 up	
0.0201:	 clear	
","0.368:	 it	
0.314:	 sure	
0.0449:	 up	
0.0352:	 sense	
0.0263:	 haste	
","0.386:	 it	
0.252:	 sure	
0.0528:	 up	
0.0465:	 haste	
0.0309:	 friends	
","0.41:	 sure	
0.239:	 it	
0.0395:	 up	
0.0334:	 now	
0.0331:	 money	
","0.472:	 sure	
0.292:	 it	
0.0275:	 sense	
0.0269:	 up	
0.023:	 clear	
","0.356:	 it	
0.286:	 sure	
0.0762:	 up	
0.0338:	 haste	
0.0241:	 sense	
","0.353:	 sure	
0.282:	 it	
0.0461:	 up	
0.0436:	 haste	
0.0283:	 money	
","0.56:	 sure	
0.175:	 it	
0.0397:	 up	
0.0293:	 clear	
0.0162:	 friends	
"
This <mask> is very tasty,"0.135:	 dish	
0.123:	 one	
0.104:	 recipe	
0.0555:	 sauce	
0.0519:	 bread	
","0.158:	 dish	
0.144:	 one	
0.0886:	 recipe	
0.0503:	 bread	
0.0497:	 sauce	
","0.191:	 recipe	
0.149:	 dish	
0.0917:	 one	
0.0474:	 bread	
0.0462:	 sauce	
","0.204:	 one	
0.159:	 recipe	
0.153:	 dish	
0.0445:	 sauce	
0.0346:	 bread	
","0.181:	 one	
0.135:	 recipe	
0.111:	 dish	
0.0463:	 sauce	
0.0401:	 bread	
","0.228:	 recipe	
0.166:	 one	
0.0938:	 dish	
0.0412:	 bread	
0.0325:	 stuff	
","0.143:	 dish	
0.131:	 one	
0.0678:	 recipe	
0.0631:	 sauce	
0.0551:	 bread	
","0.174:	 dish	
0.102:	 recipe	
0.0963:	 one	
0.0565:	 sauce	
0.0532:	 bread	
","0.18:	 recipe	
0.157:	 dish	
0.129:	 one	
0.0541:	 sauce	
0.0376:	 beer	
","0.229:	 one	
0.132:	 recipe	
0.119:	 dish	
0.0531:	 sauce	
0.0431:	 beer	
","0.21:	 one	
0.207:	 recipe	
0.0709:	 dish	
0.0357:	 bread	
0.0315:	 beer	
","0.167:	 dish	
0.0875:	 one	
0.083:	 recipe	
0.0685:	 sauce	
0.0556:	 bread	
","0.179:	 dish	
0.143:	 one	
0.0942:	 recipe	
0.0598:	 sauce	
0.0397:	 bread	
","0.155:	 one	
0.142:	 recipe	
0.122:	 dish	
0.0747:	 sauce	
0.0421:	 beer	
","0.257:	 one	
0.208:	 recipe	
0.076:	 dish	
0.0336:	 beer	
0.0314:	 sauce	
","0.173:	 dish	
0.133:	 one	
0.0759:	 recipe	
0.0668:	 sauce	
0.0511:	 beer	
","0.169:	 one	
0.13:	 dish	
0.0825:	 sauce	
0.0738:	 recipe	
0.0397:	 beer	
","0.233:	 recipe	
0.192:	 one	
0.0779:	 dish	
0.0459:	 sauce	
0.0312:	 beer	
","0.238:	 one	
0.109:	 recipe	
0.0839:	 dish	
0.0619:	 sauce	
0.0415:	 beer	
"
This fruit is very <mask>,"0.12:	 special	
0.115:	 tasty	
0.0839:	 good	
0.077:	 delicious	
0.0522:	 sweet	
","0.148:	 tasty	
0.0959:	 good	
0.0885:	 delicious	
0.0734:	 special	
0.057:	 sweet	
","0.142:	 tasty	
0.101:	 good	
0.0817:	 delicious	
0.0804:	 special	
0.0547:	 sweet	
","0.151:	 tasty	
0.112:	 good	
0.0929:	 special	
0.0908:	 delicious	
0.0693:	 sweet	
","0.144:	 tasty	
0.108:	 good	
0.0833:	 special	
0.0751:	 delicious	
0.0584:	 sweet	
","0.149:	 tasty	
0.103:	 good	
0.0713:	 delicious	
0.0663:	 special	
0.0544:	 sweet	
","0.103:	 tasty	
0.0977:	 special	
0.08:	 delicious	
0.0699:	 good	
0.0606:	 sweet	
","0.134:	 tasty	
0.0868:	 good	
0.0859:	 delicious	
0.0694:	 special	
0.0538:	 sweet	
","0.141:	 tasty	
0.0969:	 good	
0.0876:	 delicious	
0.0837:	 special	
0.0707:	 sweet	
","0.147:	 tasty	
0.106:	 good	
0.0867:	 delicious	
0.0855:	 special	
0.079:	 sweet	
","0.144:	 tasty	
0.103:	 good	
0.0659:	 delicious	
0.0589:	 sweet	
0.0575:	 special	
","0.0892:	 special	
0.0821:	 tasty	
0.0706:	 delicious	
0.0671:	 good	
0.0527:	 sweet	
","0.136:	 tasty	
0.0914:	 delicious	
0.0803:	 good	
0.0757:	 special	
0.0669:	 sweet	
","0.126:	 tasty	
0.0937:	 good	
0.083:	 sweet	
0.0801:	 delicious	
0.0754:	 special	
","0.151:	 tasty	
0.102:	 good	
0.0844:	 sweet	
0.0769:	 delicious	
0.0579:	 special	
","0.104:	 special	
0.0824:	 tasty	
0.0705:	 delicious	
0.0621:	 sweet	
0.0579:	 good	
","0.124:	 tasty	
0.0841:	 delicious	
0.0801:	 good	
0.0777:	 sweet	
0.0725:	 special	
","0.126:	 tasty	
0.0917:	 sweet	
0.0875:	 good	
0.0713:	 delicious	
0.0528:	 special	
","0.0737:	 tasty	
0.0698:	 special	
0.0686:	 sweet	
0.0581:	 rare	
0.0568:	 delicious	
"
I wish I were a <mask>,"0.0625:	 man	
0.06:	 girl	
0.0597:	 doctor	
0.0534:	 robot	
0.051:	 hero	
","0.0728:	 robot	
0.0634:	 doctor	
0.0521:	 man	
0.0495:	 girl	
0.0442:	 fan	
","0.075:	 robot	
0.0677:	 doctor	
0.0617:	 hero	
0.0524:	 fan	
0.048:	 man	
","0.119:	 robot	
0.0779:	 fan	
0.0772:	 hero	
0.0459:	 friend	
0.0457:	 star	
","0.085:	 fan	
0.0821:	 friend	
0.0702:	 doctor	
0.0585:	 hero	
0.0503:	 robot	
","0.0691:	 fan	
0.0614:	 robot	
0.057:	 friend	
0.0523:	 star	
0.0516:	 man	
","0.0766:	 girl	
0.0664:	 man	
0.0524:	 doctor	
0.0462:	 robot	
0.0444:	 child	
","0.0645:	 robot	
0.0573:	 doctor	
0.0526:	 man	
0.0445:	 girl	
0.0431:	 fan	
","0.1:	 robot	
0.0763:	 hero	
0.0664:	 fan	
0.0488:	 man	
0.0418:	 superhero	
","0.113:	 fan	
0.0775:	 friend	
0.0748:	 hero	
0.066:	 robot	
0.0525:	 star	
","0.105:	 fan	
0.0941:	 friend	
0.0537:	 star	
0.0448:	 child	
0.0426:	 doctor	
","0.0788:	
	
0.0632:	 man	
0.0626:	 girl	
0.0488:	 doctor	
0.0401:	 hero	
","0.0817:	 robot	
0.0569:	 man	
0.053:	 fan	
0.0492:	 girl	
0.046:	 hero	
","0.0999:	 fan	
0.0763:	 hero	
0.0595:	 friend	
0.0585:	 robot	
0.0439:	 superhero	
","0.142:	 fan	
0.0911:	 friend	
0.0691:	 star	
0.05:	 hero	
0.0441:	 robot	
","0.155:	
	
0.0612:	 man	
0.0608:	 girl	
0.0468:	 hero	
0.0401:	 robot	
","0.0829:	 fan	
0.0493:	 robot	
0.0491:	 friend	
0.0491:	 hero	
0.0448:	 man	
","0.125:	 fan	
0.0691:	 friend	
0.0543:	 star	
0.0489:	 hero	
0.0472:	 child	
","0.109:	
	
0.0794:	 ""	
0.0635:	 fan	
0.0595:	 man	
0.0464:	 girl	
"
I wish I <mask> a fish,"0.813:	 had	
0.0863:	 were	
0.0427:	 was	
0.0107:	 wanted	
0.00639:	 could	
","0.808:	 had	
0.084:	 were	
0.0464:	 was	
0.0089:	 wanted	
0.00712:	 saw	
","0.768:	 had	
0.0918:	 were	
0.0787:	 was	
0.00873:	 wanted	
0.00817:	 saw	
","0.802:	 had	
0.0764:	 were	
0.0701:	 was	
0.00705:	 wanted	
0.00613:	 saw	
","0.816:	 had	
0.058:	 were	
0.055:	 was	
0.0097:	 wanted	
0.00852:	 saw	
","0.815:	 had	
0.0656:	 were	
0.0351:	 was	
0.0126:	 wanted	
0.00862:	 saw	
","0.804:	 had	
0.0976:	 were	
0.0465:	 was	
0.00952:	 wanted	
0.00594:	 could	
","0.759:	 had	
0.104:	 were	
0.0834:	 was	
0.00789:	 wanted	
0.00634:	 saw	
","0.737:	 had	
0.127:	 was	
0.0905:	 were	
0.00634:	 wanted	
0.00561:	 saw	
","0.804:	 had	
0.0878:	 was	
0.0565:	 were	
0.00667:	 wanted	
0.006:	 have	
","0.824:	 had	
0.0518:	 were	
0.0419:	 was	
0.0122:	 wanted	
0.00875:	 saw	
","0.74:	 had	
0.121:	 were	
0.0916:	 was	
0.00841:	 wanted	
0.00469:	 saw	
","0.718:	 had	
0.133:	 was	
0.108:	 were	
0.00572:	 wanted	
0.00447:	 knew	
","0.726:	 had	
0.161:	 was	
0.0637:	 were	
0.00608:	 wanted	
0.00591:	 have	
","0.822:	 had	
0.0668:	 was	
0.0524:	 were	
0.00859:	 wanted	
0.00639:	 got	
","0.685:	 had	
0.149:	 was	
0.131:	 were	
0.0059:	 wanted	
0.0045:	 could	
","0.705:	 had	
0.174:	 was	
0.0774:	 were	
0.0055:	 wanted	
0.00489:	'd	
","0.76:	 had	
0.125:	 was	
0.0622:	 were	
0.00793:	 wanted	
0.00559:	 saw	
","0.702:	 had	
0.163:	 was	
0.0949:	 were	
0.00731:	 wanted	
0.00465:	 got	
"
I wish I were <mask> fish,"0.425:	 a	
0.342:	 to	
0.0263:	 better	
0.0251:	 the	
0.0209:	 bigger	
","0.598:	 a	
0.137:	 to	
0.0299:	 better	
0.0298:	 the	
0.0277:	 like	
","0.69:	 a	
0.0909:	 to	
0.0285:	 the	
0.0227:	 like	
0.0216:	 more	
","0.685:	 a	
0.0736:	 to	
0.0334:	 more	
0.0272:	 bigger	
0.022:	 the	
","0.629:	 a	
0.076:	 to	
0.0427:	 bigger	
0.0333:	 more	
0.0265:	 the	
","0.629:	 a	
0.117:	 to	
0.033:	 the	
0.0307:	 more	
0.0254:	 better	
","0.309:	 to	
0.249:	 a	
0.0729:	 better	
0.0333:	 alive	
0.0317:	 bigger	
","0.586:	 a	
0.117:	 to	
0.0337:	 better	
0.0327:	 the	
0.0308:	 like	
","0.703:	 a	
0.07:	 to	
0.0261:	 the	
0.0244:	 more	
0.0205:	 like	
","0.661:	 a	
0.0529:	 to	
0.0404:	 bigger	
0.0376:	 more	
0.0248:	 the	
","0.597:	 a	
0.0923:	 to	
0.038:	 bigger	
0.0368:	 more	
0.0353:	 the	
","0.238:	 to	
0.15:	 a	
0.0805:	 better	
0.0693:	 alive	
0.0641:	.	
","0.551:	 a	
0.0781:	 to	
0.0383:	 better	
0.0298:	 more	
0.0291:	 alive	
","0.686:	 a	
0.0517:	 to	
0.0278:	 more	
0.0276:	 the	
0.0266:	 bigger	
","0.639:	 a	
0.0636:	 to	
0.0426:	 more	
0.0345:	 bigger	
0.0325:	 the	
","0.163:	.	
0.131:	 alive	
0.0833:	 to	
0.0783:	 a	
0.0683:	 better	
","0.523:	 a	
0.0589:	 to	
0.0511:	 alive	
0.0452:	 better	
0.035:	 more	
","0.673:	 a	
0.0595:	 to	
0.036:	 the	
0.0299:	 more	
0.0244:	 better	
","0.179:	 alive	
0.123:	 better	
0.0886:	 to	
0.082:	 a	
0.0529:	 more	
"
The rain in <mask> falls mainly on the plain,"0.143:	 London	
0.0665:	 Britain	
0.0623:	 Barcelona	
0.0546:	 Bangladesh	
0.0379:	 Manchester	
","0.108:	 London	
0.0637:	 Barcelona	
0.0552:	 Bangladesh	
0.0438:	 Britain	
0.0356:	 Delhi	
","0.128:	 London	
0.0636:	 Bangladesh	
0.0618:	 Britain	
0.046:	 Barcelona	
0.0348:	 England	
","0.122:	 London	
0.0843:	 Britain	
0.0723:	 Bangladesh	
0.0447:	 Spain	
0.0404:	 England	
","0.155:	 London	
0.0782:	 Britain	
0.052:	 Bangladesh	
0.0464:	 Barcelona	
0.0428:	 England	
","0.115:	 London	
0.09:	 Britain	
0.0726:	 Bangladesh	
0.0419:	 Barcelona	
0.0349:	 Spain	
","0.138:	 London	
0.0769:	 Barcelona	
0.055:	 Britain	
0.0462:	 Bangladesh	
0.0367:	 Delhi	
","0.11:	 London	
0.0548:	 Bangladesh	
0.0505:	 Barcelona	
0.0481:	 Britain	
0.0386:	 Bangalore	
","0.112:	 London	
0.0783:	 Britain	
0.0765:	 Bangladesh	
0.0425:	 India	
0.0377:	 England	
","0.136:	 London	
0.098:	 Britain	
0.0611:	 Bangladesh	
0.0485:	 England	
0.0435:	 Spain	
","0.132:	 London	
0.104:	 Britain	
0.0552:	 Bangladesh	
0.0408:	 Barcelona	
0.0331:	 Spain	
","0.144:	 London	
0.0607:	 Britain	
0.0564:	 Barcelona	
0.0472:	 Bangladesh	
0.039:	 Bangalore	
","0.0954:	 London	
0.0652:	 Bangladesh	
0.0616:	 Britain	
0.0411:	 Barcelona	
0.0375:	 India	
","0.134:	 London	
0.102:	 Britain	
0.0585:	 Bangladesh	
0.0513:	 England	
0.0337:	 Spain	
","0.13:	 Britain	
0.115:	 London	
0.0618:	 Bangladesh	
0.0382:	 Spain	
0.0368:	 England	
","0.121:	 London	
0.0766:	 Britain	
0.0543:	 Bangladesh	
0.0462:	 Barcelona	
0.0373:	 England	
","0.12:	 London	
0.0821:	 Britain	
0.0459:	 Bangladesh	
0.0458:	 England	
0.039:	 Barcelona	
","0.139:	 Britain	
0.109:	 London	
0.0597:	 Bangladesh	
0.0386:	 England	
0.036:	 Bangalore	
","0.132:	 Britain	
0.115:	 London	
0.0381:	 England	
0.0371:	 Victoria	
0.0348:	 particular	
"
The rain in spain falls mainly on the <mask>,"0.118:	 trees	
0.114:	 poor	
0.0537:	 wind	
0.0516:	 farmers	
0.038:	 children	
","0.104:	 poor	
0.0951:	 trees	
0.0802:	 farmers	
0.0385:	 children	
0.037:	 wind	
","0.105:	 trees	
0.085:	 poor	
0.0697:	 farmers	
0.0597:	 wind	
0.0417:	 farmer	
","0.136:	 poor	
0.121:	 farmers	
0.0775:	 trees	
0.0434:	 farmer	
0.0342:	 locals	
","0.0839:	 trees	
0.08:	 farmers	
0.0674:	 poor	
0.0553:	 wind	
0.0332:	 fields	
","0.141:	 poor	
0.106:	 farmers	
0.0755:	 trees	
0.0396:	 farmer	
0.0394:	 children	
","0.136:	 poor	
0.1:	 trees	
0.0469:	 wind	
0.0451:	 farmers	
0.042:	 fields	
","0.101:	 trees	
0.0991:	 poor	
0.0677:	 farmers	
0.0471:	 wind	
0.0401:	 fields	
","0.133:	 poor	
0.0947:	 farmers	
0.0914:	 trees	
0.0482:	 wind	
0.0465:	 farmer	
","0.12:	 farmers	
0.114:	 poor	
0.0733:	 trees	
0.048:	 wind	
0.0384:	 fields	
","0.11:	 poor	
0.101:	 farmers	
0.0671:	 trees	
0.0477:	 wind	
0.0434:	 ground	
","0.109:	 poor	
0.0835:	 trees	
0.0766:	.	
0.0487:	 wind	
0.0447:	 roofs	
","0.14:	 poor	
0.0902:	 trees	
0.0896:	 farmers	
0.0468:	 fields	
0.0418:	 farmer	
","0.111:	 poor	
0.091:	 farmers	
0.0849:	 trees	
0.0612:	 wind	
0.051:	 fields	
","0.177:	 poor	
0.14:	 farmers	
0.0535:	 trees	
0.0395:	 wind	
0.0382:	 farmer	
","0.139:	 poor	
0.0805:	.	
0.0749:	 trees	
0.05:	 fields	
0.0472:	 farmers	
","0.116:	 poor	
0.086:	 farmers	
0.0828:	 trees	
0.0758:	 fields	
0.0493:	 wind	
","0.178:	 poor	
0.113:	 farmers	
0.0644:	 trees	
0.0486:	 wind	
0.0466:	 ground	
","0.184:	 poor	
0.109:	.	
0.0604:	 roofs	
0.0556:	 farmers	
0.0528:	 roof	
"
The rain in spain falls mainly on <mask> plain,"0.494:	 the	
0.0712:	 coastal	
0.067:	 a	
0.0537:	 flood	
0.0456:	 salt	
","0.74:	 the	
0.0467:	 a	
0.034:	 flood	
0.0286:	 coastal	
0.0149:	 salt	
","0.735:	 the	
0.0913:	 a	
0.0319:	 flood	
0.0173:	 coastal	
0.0156:	 this	
","0.74:	 the	
0.067:	 a	
0.038:	 flood	
0.0261:	 coastal	
0.0166:	 salt	
","0.652:	 the	
0.0828:	 a	
0.0614:	 flood	
0.0371:	 coastal	
0.0183:	 salt	
","0.745:	 the	
0.0811:	 a	
0.0281:	 flood	
0.0175:	 coastal	
0.0124:	 salt	
","0.492:	 the	
0.0544:	 coastal	
0.0451:	 salt	
0.0399:	 snow	
0.0359:	 a	
","0.789:	 the	
0.0613:	 a	
0.0213:	 flood	
0.0157:	 this	
0.0149:	 coastal	
","0.783:	 the	
0.0878:	 a	
0.0225:	 flood	
0.0224:	 this	
0.0134:	 coastal	
","0.707:	 the	
0.0843:	 a	
0.0511:	 flood	
0.034:	 coastal	
0.0164:	 this	
","0.73:	 the	
0.101:	 a	
0.0373:	 flood	
0.0196:	 coastal	
0.0111:	 this	
","0.482:	 the	
0.0444:	 salt	
0.0411:	 a	
0.0405:	 snow	
0.0268:	 coastal	
","0.825:	 the	
0.0568:	 a	
0.0221:	 this	
0.0157:	 flood	
0.0125:	 coastal	
","0.753:	 the	
0.111:	 a	
0.0284:	 flood	
0.0224:	 this	
0.0178:	 coastal	
","0.766:	 the	
0.103:	 a	
0.0297:	 flood	
0.0177:	 coastal	
0.015:	 this	
","0.49:	 the	
0.041:	 snow	
0.04:	 a	
0.0379:	 salt	
0.025:	 coastal	
","0.792:	 the	
0.0754:	 a	
0.024:	 this	
0.0206:	 flood	
0.0176:	 coastal	
","0.784:	 the	
0.131:	 a	
0.019:	 this	
0.0154:	 flood	
0.00898:	 coastal	
","0.495:	 the	
0.0612:	 a	
0.0376:	 agriculture	
0.0296:	 land	
0.028:	 snow	
"
The rain in spain falls mainly <mask> the plain,"0.42:	 on	
0.217:	 in	
0.182:	 from	
0.0564:	 over	
0.0286:	 to	
","0.397:	 on	
0.247:	 in	
0.21:	 from	
0.043:	 over	
0.0204:	 to	
","0.399:	 on	
0.224:	 from	
0.183:	 in	
0.0649:	 over	
0.0252:	 to	
","0.421:	 on	
0.251:	 in	
0.155:	 from	
0.0627:	 over	
0.022:	 to	
","0.429:	 on	
0.219:	 from	
0.181:	 in	
0.0501:	 over	
0.0409:	 to	
","0.536:	 on	
0.175:	 in	
0.138:	 from	
0.0439:	 over	
0.0258:	 to	
","0.376:	 on	
0.258:	 in	
0.187:	 from	
0.0558:	 over	
0.0219:	 to	
","0.376:	 on	
0.228:	 from	
0.209:	 in	
0.0631:	 over	
0.0193:	 across	
","0.372:	 on	
0.229:	 in	
0.182:	 from	
0.0863:	 over	
0.0189:	 to	
","0.406:	 on	
0.232:	 in	
0.182:	 from	
0.0666:	 over	
0.0314:	 to	
","0.508:	 on	
0.164:	 from	
0.158:	 in	
0.0492:	 over	
0.0389:	 to	
","0.362:	 on	
0.208:	 in	
0.196:	 from	
0.0804:	 over	
0.0245:	 across	
","0.351:	 on	
0.259:	 in	
0.184:	 from	
0.0816:	 over	
0.0214:	 across	
","0.354:	 on	
0.218:	 from	
